,titles,links
39,"NIVEA Body Lotion, Oil in Lotion Rose & Argan Oil, For Dry Skin, 400ml",https://www.amazon.in/Nivea-Rose-Argan-Lotion-400ml/dp/B07H41VR92/ref=sr_1_36?dchild=1&keywords=Body+Cream&qid=1624283239&sr=8-36
40,"Joy Skin Fruits Fruit Moisturizing Cream, For All Skin Types 500 ml",https://www.amazon.in/Fruits-Active-Moisture-Moisturizing-Massage/dp/B00TI9CMDM/ref=sr_1_37?dchild=1&keywords=Body+Cream&qid=1624283239&sr=8-37
41,"NIVEA Body Lotion For Men & Women, Express Hydration, for Fast Absorption, 400 ml",https://www.amazon.in/Nivea-Express-Hydration-Lotion-400ml/dp/B006LX9WCM/ref=sr_1_38?dchild=1&keywords=Body+Cream&qid=1624283239&sr=8-38
42,"bare body essentials Cream to Reduce Stretch Marks, Scars, Spots, Discolouration, Tone, Nourish, Tighten, Evens out, Brightens, for all skin type - 50 gm",https://www.amazon.in/Essentials-Stretch-Discolouration-Nourish-Brightens/dp/B08HN82JBD/ref=sr_1_39?dchild=1&keywords=Body+Cream&qid=1624283239&sr=8-39
43,"Yardley London English Rose Moisturising Hand and Body Lotion for Normal Skin, 350ml (Pack of 2)",https://www.amazon.in/Yardley-London-English-Lotion-350ml/dp/B07NPKZNBM/ref=sr_1_40?dchild=1&keywords=Body+Cream&qid=1624283239&sr=8-40
44,"bare body essentials Underarm Cream, Spotless, Soft and Nourished, Enriched with Vitamin E, Evens Out Dark, for all skin types, White, Vanilla, 50 gm",https://www.amazon.in/Bare-Body-Essentials-Under-Cream/dp/B0819HY5QQ/ref=sr_1_41?dchild=1&keywords=Body+Cream&qid=1624283239&sr=8-41
45,"Dove Silky Nourishing Body Cream Silky Feeling skin, 300 ml",https://www.amazon.in/Dove-Silky-Nourishing-Cream-Feeling/dp/B01N3ZNSRH/ref=sr_1_42?dchild=1&keywords=Body+Cream&qid=1624283239&sr=8-42
46,SKIN SECRETS FRUIT FACIAL MASSAGE CREAM -800 gms,https://www.amazon.in/SECRETS-FRUIT-FACIAL-MASSAGE-CREAM/dp/B07N3TP4FL/ref=sr_1_43?dchild=1&keywords=Body+Cream&qid=1624283239&sr=8-43
47,"Himalaya Herbals Aloe and Cucumber Refreshing Body Lotion, 400ml",https://www.amazon.in/Himalaya-Herbals-Cucumber-Refreshing-Lotion/dp/B00VHSU69O/ref=sr_1_44?dchild=1&keywords=Body+Cream&qid=1624283239&sr=8-44
48,"WOW Skin Science Aloe Vera Body Lotion - Ultra Light Hydration - No Mineral Oil, Parabens, Silicones, Color & PG (300mL)",https://www.amazon.in/WOW-Lotion-Ultra-Light-Hydration/dp/B07JZ1XQQB/ref=sr_1_45?dchild=1&keywords=Body+Cream&qid=1624283239&smid=A2WK4OB3ROODF0&sr=8-45
49,"Joy Skin Fruits Fruit Moisturizing body lotion, For All Skin Types 500ml",https://www.amazon.in/Fruits-Active-Moisture-Moisturizing-Lotion/dp/B00TI9DC6I/ref=sr_1_46?dchild=1&keywords=Body+Cream&qid=1624283239&sr=8-46
50,"Plum Bodylovin' Coffee Wake-A-Ccino Non-Greasy, Silicone and Paraben-Free, Vegan, Cruelty-Free Hand Cream for All Skin Types (50 Gram)",https://www.amazon.in/Plum-Bodylovin-Non-Greasy-Paraben-Free-Cruelty-Free/dp/B08P7535FB/ref=sr_1_47?dchild=1&keywords=Body+Cream&qid=1624283239&sr=8-47
51,"NIVEA Crème, All Season Multi-Purpose Cream, 200ml",https://www.amazon.in/Nivea-Creme-200ml/dp/B00GQVESKA/ref=sr_1_48?dchild=1&keywords=Body+Cream&qid=1624283239&sr=8-48
52,"POND'S Triple Vitamin Moisturising Body Lotion, Gives 3x Moisturisation For Soft, Smooth, Radiant Skin in Winters, 300 ml",https://www.amazon.in/Ponds-Triple-Vitamin-Moisturising-Lotion/dp/B01ER404A0/ref=sr_1_49?dchild=1&keywords=Body+Cream&qid=1624283239&sr=8-49
53,"Dove Supple Bounce Body Lotion, for Soft,Bouncy,Smooth Skin,48Hrs Moisturisation, Paraben Free, with Plant based Moisturiser,Quick Absobtion,400ml",https://www.amazon.in/Dove-Supple-Bounce-Body-Lotion/dp/B08M4QGSDY/ref=sr_1_50?dchild=1&keywords=Body+Cream&qid=1624283239&sr=8-50
54,"Cipla Mamaxpert Stretch Mark Cream to Reduce Stretch Marks & Scars, 60 gm…",https://www.amazon.in/Cipla-Mamaxpert-Stretch-Cream-Reduce/dp/B08D961R52/ref=sr_1_51?dchild=1&keywords=Body+Cream&qid=1624283239&sr=8-51
55,"bare body essentials Neck Back Cream for Even toned and Smooth, Combination skin, Shea Butter, 50 gm",https://www.amazon.in/Bare-Body-Essentials-Neck-Cream/dp/B07ZZ7SSQK/ref=sr_1_52?dchild=1&keywords=Body+Cream&qid=1624283239&sr=8-52
56,"Lotus Herbals White Glow Skin Whitening and Brightening SPF-25 Hand and Body Lotion, 300ml",https://www.amazon.in/Lotus-Herbals-Whitening-Brightening-SPF-25/dp/B007E9F86Q/ref=sr_1_53?dchild=1&keywords=Body+Cream&qid=1624283239&sr=8-53
57,"VENUSIA Max Intensive Moisturizing Lotion For Everyday Use, 300 g",https://www.amazon.in/VENUSIA-Intensive-Moisturizing-Lotion-Everyday/dp/B08P8Q9M9M/ref=sr_1_54?dchild=1&keywords=Body+Cream&qid=1624283239&sr=8-54
58,"Dove Light Hydration,Refreshed skin with plant based moisturisers,Paraben Free,Non Oily,Light Weight,Quick Absorption, All Skin Type 400ml",https://www.amazon.in/Dove-Light-Hydration-Body-Lotion/dp/B08M4V76TF/ref=sr_1_55?dchild=1&keywords=Body+Cream&qid=1624283239&sr=8-55
59,"VLCC De Tan Plus White Glow Moisturising Body Lotion SPF 30 PA+++, 350ml",https://www.amazon.in/VLCC-White-Moisturising-Lotion-350ml/dp/B07CPX232F/ref=sr_1_56?dchild=1&keywords=Body+Cream&qid=1624283239&smid=AT95IG9ONZD7S&sr=8-56
60,"Lakme Peach Milk Moisturizer Body Lotion, Lightweight, Non-Sticky, Locks Moisture For 12 Hours, 120 ml",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A07818951EDQ9VDNQY643&url=%2FLakme-Peach-Milk-Moisturizer-Lotion%2Fdp%2FB00UFF8TEO%2Fref%3Dsr_1_57_sspa%3Fdchild%3D1%26keywords%3DBody%2BCream%26qid%3D1624283239%26sr%3D8-57-spons%26psc%3D1&qualifier=1624283239&id=8919141745039535&widgetName=sp_btf
61,"MCaffeine Naked and Rich Cocoa Butter, Caramel Deep Moisturizing All Skin Paraben and Mineral Oil-Free Choco Body Butter , 250 g",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A06819981YHGL15DJ1UZL&url=%2FmCaffeine-Caramel-Moisturizing-Paraben-Mineral%2Fdp%2FB07Q1GBL9K%2Fref%3Dsr_1_58_sspa%3Fdchild%3D1%26keywords%3DBody%2BCream%26qid%3D1624283239%26smid%3DA2A53F3N8CEFWW%26sr%3D8-58-spons%26psc%3D1&qualifier=1624283239&id=8919141745039535&widgetName=sp_btf
62,"Softsens Moisturizing Body Sorbet Luxurious Body Moisturizer & Hand Cream Silky Soft & Smooth Skin, 100 Gm",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0417031DXNMLHYXY619&url=%2FSoftsens-Moisturizing-Body-Sorbet-Moisturizer%2Fdp%2FB08DG4NRXS%2Fref%3Dsr_1_59_sspa%3Fdchild%3D1%26keywords%3DBody%2BCream%26qid%3D1624283239%26sr%3D8-59-spons%26psc%3D1%26smid%3DA2CBP8VQS669Z8&qualifier=1624283239&id=8919141745039535&widgetName=sp_btf
63,"bare body essentials Underarm Cream, Spotless, Soft and Nourished, Enriched with Vitamin E, Evens Out Dark, for all skin types, White, Vanilla, 50 gm",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A00156281R2OYUJETY2LK&url=%2FBare-Body-Essentials-Under-Cream%2Fdp%2FB0819HY5QQ%2Fref%3Dsr_1_60_sspa%3Fdchild%3D1%26keywords%3DBody%2BCream%26qid%3D1624283239%26sr%3D8-60-spons%26psc%3D1&qualifier=1624283239&id=8919141745039535&widgetName=sp_btf
64,Dermafique Dermatologist Tested Intensive Restore Body Serum for Dry Skin (300 ml),https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0900504IEUR0WI9F4CN&url=%2FDermafique-Intensive-Restore-Serum-300ml%2Fdp%2FB07J9KYL4L%2Fref%3Dsr_1_49_sspa%3Fdchild%3D1%26keywords%3DBody%2BCream%26qid%3D1624283254%26sr%3D8-49-spons%26psc%3D1&qualifier=1624283254&id=3271218779141789&widgetName=sp_atf_next
65,"NIVEA Soft Light Moisturizer Cream, with Vitamin E & Jojoba Oil for Face, Hands and Body, 300 ml",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A086321328VHH52BD7G4O&url=%2FNivea-Light-Moisturising-Cream-300ml%2Fdp%2FB00E96N6O8%2Fref%3Dsr_1_50_sspa%3Fdchild%3D1%26keywords%3DBody%2BCream%26qid%3D1624283254%26sr%3D8-50-spons%26psc%3D1&qualifier=1624283254&id=3271218779141789&widgetName=sp_atf_next
66,"Plum Chamomile & White Tea Morning Dew Day Cream | Quick-absorbing Gel Cream | For Normal, Combination Skin | 100% Vegan, Cruelty Free | 45g",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A01724323L3HC7SA3A5G6&url=%2FPlum-Chamomile-Quick-absorbing-Combination-Cruelty%2Fdp%2FB08LYDJB9L%2Fref%3Dsr_1_51_sspa%3Fdchild%3D1%26keywords%3DBody%2BCream%26qid%3D1624283254%26sr%3D8-51-spons%26psc%3D1&qualifier=1624283254&id=3271218779141789&widgetName=sp_atf_next
67,"Dermafique Aqua Cloud Hydrating Crème for All Skin Types, Dermatologist Tested, Face and Body Cream (200 g)",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A05076342IIYZ2WVRBJ1U&url=%2FDermafiue-Aqua-Cloud-Hydrating-Cr%25C3%25A8me%2Fdp%2FB07LGYBL4W%2Fref%3Dsr_1_52_sspa%3Fdchild%3D1%26keywords%3DBody%2BCream%26qid%3D1624283254%26smid%3DAT95IG9ONZD7S%26sr%3D8-52-spons%26psc%3D1&qualifier=1624283254&id=3271218779141789&widgetName=sp_atf_next
68,"Rivaasa Hydrating Glow Cream with Raspberry Seed Oil & Vegan Collagen for Skin Brightening, Moisturizing & Elasticity (50g)",https://www.amazon.in/Rivaasa-Hydrating-Brightening-Moisturizing-Elasticity/dp/B093WSCGLC/ref=sr_1_53?dchild=1&keywords=Body+Cream&qid=1624283254&sr=8-53
